"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score","Purpose_G"
"2771",100,30,2,1,3,3,4,"2,3,4,6",5,2,4,2,3,4,2,3,3,2,4,3,3,3,2,2,2,1,2,1,3,2,2,3,4,3,2,3,4,5,4,3,1,5,5,6,5,4,3,5,2,5,3,4,2,6,5,3,1,7,5,4,2,4,6,4,3,4,49,23,33,32,51,137,7
"2781",100,30,2,1,3,3,5,"2,3,4",5,2,4,2,3,1,2,1,3,2,4,3,3,4,3,1,3,2,2,3,3,2,2,3,4,5,7,4,1,3,4,6,5,5,5,3,1,4,6,5,4,2,4,5,4,2,2,4,3,5,5,1,3,5,2,5,3,5,46,19,49,23,51,137,5
"2791",100,30,2,1,3,3,3,"2,3,5,6,7",5,2,4,3,2,3,3,2,2,1,2,1,3,2,3,2,4,2,3,4,2,3,1,1,2,3,4,4,3,4,5,4,2,6,2,3,5,6,6,3,4,2,3,4,1,3,3,5,6,3,5,4,3,1,3,2,3,4,45,15,39,24,51,123,4
"2801",100,27,1,1,5,1,1,"9",6,2,3,4,2,3,2,2,4,2,4,1,3,1,2,4,2,1,4,3,2,1,1,5,6,5,3,6,3,6,3,5,7,5,3,3,2,5,4,5,2,4,2,5,2,2,5,3,3,4,5,4,4,3,5,3,5,3,50,24,39,28,50,141,3
"2811",100,35,2,1,5,1,1,"1,2,3,4",5,2,2,2,3,4,3,4,4,2,2,4,3,2,2,1,1,2,1,3,3,3,2,4,2,3,4,4,2,1,4,6,5,7,3,5,4,3,2,4,4,5,2,4,5,4,2,4,6,5,4,1,5,3,4,4,4,4,43,23,41,28,51,135,5
"2821",100,34,2,1,3,3,3,"2,3,4,6",5,2,4,2,3,4,2,2,2,2,2,4,2,3,3,2,3,3,3,3,3,3,4,2,3,4,6,4,4,2,4,4,5,7,3,3,4,5,5,3,2,4,3,4,2,3,2,4,5,5,7,5,3,4,3,3,2,3,44,15,44,33,55,136,7
"2831",100,27,1,1,5,1,1,"1",6,2,2,3,4,4,1,4,1,3,3,4,3,2,2,1,4,3,1,3,3,4,1,1,4,6,6,6,6,2,6,6,6,5,5,4,3,2,3,5,2,2,5,3,5,2,3,2,5,3,2,3,3,4,3,3,5,5,48,19,48,22,55,137,1
"2841",100,36,2,1,4,3,2,"3,5,6,7",5,2,3,3,3,2,3,4,2,3,3,2,4,3,2,2,2,2,2,1,2,2,3,3,5,3,4,4,1,3,6,3,4,6,5,3,5,3,1,3,5,6,5,4,3,4,3,4,5,4,3,5,4,4,3,4,5,3,49,22,38,30,50,139,4
"2851",100,35,2,1,5,1,1,"1,2,3,4,5",5,2,4,2,3,2,3,3,3,3,3,3,2,3,1,2,3,3,3,3,3,2,4,1,2,3,3,4,4,4,5,4,3,3,5,6,5,6,5,6,4,3,4,5,4,4,6,6,4,5,4,5,5,6,4,5,4,5,61,24,40,31,54,156,7
"2861",100,27,2,1,5,1,1,"2",6,2,2,2,2,1,2,1,3,3,3,3,3,4,2,3,4,3,4,3,1,3,2,1,7,5,3,1,6,1,6,5,6,4,4,2,2,4,2,2,5,5,4,4,4,5,5,5,5,5,3,5,4,5,4,5,2,5,49,21,41,32,52,143,1
"2871",100,35,2,1,4,1,2,"1,2",5,2,4,2,1,2,2,2,3,2,2,2,2,3,3,2,3,2,3,2,2,3,2,3,3,4,5,4,3,4,5,3,5,3,4,5,4,3,4,3,4,5,3,4,4,3,6,5,3,5,4,5,4,3,4,7,3,2,49,23,40,29,47,141,1
"2881",100,27,1,1,5,1,1,"3",6,2,4,4,1,4,2,3,1,4,4,2,3,3,1,1,3,2,4,1,1,3,7,5,5,7,7,3,5,6,3,5,6,4,4,2,2,4,2,3,5,5,4,4,3,3,2,2,5,5,4,2,3,2,5,4,2,3,52,19,44,28,51,143,1
"2891",100,27,1,1,5,1,1,"2",6,2,4,3,3,4,1,2,2,4,4,4,3,1,1,4,3,4,1,3,1,2,3,7,6,1,7,3,6,5,4,7,5,4,2,5,5,2,3,4,5,4,2,2,4,2,3,3,4,2,3,2,3,5,5,2,5,5,51,23,41,25,54,140,1
"2901",100,27,1,1,6,1,1,"4",5,2,4,1,3,2,3,2,3,3,4,3,2,1,3,3,3,3,1,4,3,1,6,1,6,2,6,7,4,6,5,4,3,4,3,5,4,5,4,2,4,3,5,4,5,5,3,3,4,4,5,5,4,2,2,2,2,5,60,20,39,25,52,144,3
"2911",100,27,1,1,5,1,1,"6",6,2,4,1,1,3,2,3,1,4,1,1,2,2,4,1,3,3,1,3,3,1,7,5,1,4,5,5,4,5,4,7,7,4,2,4,2,4,4,2,2,5,4,4,2,4,4,2,5,3,4,5,5,2,5,2,4,4,47,23,43,29,44,142,2
"2921",100,27,1,1,5,1,1,"5",6,2,3,2,2,1,2,4,1,4,4,3,2,4,4,2,2,3,3,4,4,2,5,5,4,3,7,1,6,6,3,1,7,5,5,2,5,2,3,5,5,5,2,3,4,3,2,5,3,5,3,3,4,3,2,5,2,3,53,19,41,24,56,137,2
"2931",100,27,2,1,5,1,1,"1",6,2,1,2,4,1,3,2,1,1,4,1,4,1,3,3,3,4,4,1,1,3,6,6,6,6,5,5,4,1,6,5,1,4,3,4,5,4,4,2,3,4,5,4,4,4,3,4,4,3,2,2,2,5,3,2,5,2,50,26,39,23,47,138,1
"2941",100,27,1,1,5,1,1,"8",6,2,4,3,1,4,1,1,3,1,3,2,4,3,1,4,2,1,2,4,4,1,5,7,6,6,2,1,4,7,3,1,6,4,2,4,2,5,4,5,2,4,2,4,2,4,5,3,4,5,4,3,5,2,2,3,2,5,52,24,35,24,49,135,3
"2951",100,32,2,1,5,1,1,"1,2,4,5",5,2,3,3,4,3,3,3,3,1,2,1,3,2,1,3,1,2,1,2,3,2,2,3,4,5,3,4,2,5,6,5,4,4,2,3,4,5,3,5,4,3,4,5,4,3,2,3,4,3,4,3,5,4,4,5,4,4,50,21,41,25,46,137,7
"2961",100,36,2,1,4,3,3,"6,8",5,2,4,2,3,2,3,2,2,1,2,1,2,1,2,2,2,1,3,2,2,4,3,4,3,5,4,3,5,5,4,3,1,4,5,7,3,5,4,3,4,5,5,4,2,4,3,4,2,5,5,6,4,5,2,3,4,4,55,21,36,30,43,142,6
"2971",100,36,2,1,3,3,6,"2,4,6",5,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,4,2,3,2,3,3,3,3,4,4,5,5,3,3,4,5,2,5,3,4,4,3,4,4,5,4,4,3,5,3,4,4,2,5,4,3,5,2,4,4,4,49,22,38,27,48,136,7
"2981",100,24,1,1,4,2,6,"1,2,4,5,8,9",5,2,1,3,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,2,4,1,2,2,1,1,2,4,1,6,1,5,4,1,2,1,1,1,1,2,1,1,3,5,2,1,6,5,2,7,2,5,5,3,2,2,25,14,24,32,35,95,7
"2991",100,35,2,1,4,3,5,"3",3,2,4,2,3,3,1,2,2,3,4,3,3,3,2,1,3,2,2,3,2,3,2,5,5,4,3,5,6,5,4,4,6,3,4,3,5,4,5,6,4,3,5,5,6,3,5,4,5,3,6,3,6,3,4,2,3,4,58,27,41,27,51,153,1
"3001",100,32,1,1,5,2,6,"1",6,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,2,4,4,4,5,5,3,5,5,3,5,4,4,4,4,3,3,2,3,1,4,1,3,4,5,4,4,5,4,4,4,4,4,4,4,4,4,47,24,37,29,52,137,1
"3011",100,35,2,1,4,4,8,"4,6,8",5,2,4,2,3,3,3,4,3,2,2,2,1,2,3,3,3,2,4,1,3,2,1,3,5,5,3,5,2,4,2,5,3,4,2,5,4,3,3,5,4,5,4,6,2,3,4,3,5,5,5,3,4,5,4,4,3,4,45,21,39,32,52,137,6
"3021",100,45,2,1,2,3,5,"1,3,5",4,2,4,2,2,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,5,4,3,5,4,4,5,3,3,3,4,5,6,4,3,4,5,5,4,4,4,5,3,5,4,3,5,2,3,4,4,6,5,48,26,43,29,54,146,4
"3031",100,36,2,1,5,3,6,"4,6,8,9",4,2,2,2,3,2,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,2,3,4,4,5,4,2,5,4,3,4,5,4,5,3,3,5,3,4,4,2,5,5,3,6,5,4,2,4,5,4,3,5,4,5,4,3,49,27,41,26,51,143,6
