"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"44",100,25,1,1,4,2,2,"1,2,3,4,5,6,7,8,9",2,2,2,3,3,3,2,1,3,2,2,2,4,3,3,3,2,1,2,3,1,2,5,6,5,5,6,5,6,5,7,7,5,2,6,7,5,6,5,6,5,7,5,5,5,5,6,7,6,5,7,5,7,5,6,7,5,6,77,32,53,41,47,203
"45",100,19,1,1,3,2,2,"5,6",4,2,4,3,2,4,2,3,2,2,4,3,2,3,2,4,3,2,3,4,3,4,2,5,4,4,6,3,5,6,3,5,5,6,2,5,4,4,6,3,3,5,5,2,6,2,5,6,2,5,3,4,4,5,4,5,5,6,50,25,52,28,59,155
"46",100,22,2,3,4,2,6,"3,5,6,8,9",5,2,2,3,3,3,2,3,3,3,2,2,2,1,3,2,3,2,1,1,2,2,6,3,5,5,5,3,3,4,4,4,3,4,6,4,7,5,4,5,3,3,3,4,3,6,3,1,6,3,1,7,5,7,7,7,5,4,54,24,46,34,45,158
"47",100,29,2,1,4,1,2,"1,2,4,5,9",5,2,2,3,4,4,2,1,4,4,1,2,4,3,3,3,3,1,2,3,2,3,5,6,6,5,7,6,6,6,7,6,4,5,6,7,4,7,3,5,4,5,6,7,5,6,5,5,5,6,6,4,5,7,6,7,4,6,75,33,53,39,54,200
"48",100,29,2,1,5,2,1,"2,6,9",4,2,1,1,2,2,2,3,3,4,2,3,2,2,3,3,3,3,3,1,3,2,6,6,4,6,4,4,5,3,5,5,6,4,3,4,6,5,3,5,4,3,3,5,6,6,6,4,3,4,5,6,5,6,6,5,6,5,57,35,47,33,48,172
"49",100,19,1,4,3,2,6,"5,6,9",6,2,1,1,3,2,1,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,6,2,4,4,4,4,2,4,4,4,5,4,6,3,5,5,3,4,1,1,2,4,4,6,4,1,6,3,1,6,4,7,7,7,5,4,48,25,42,31,33,146
"50",100,28,2,1,5,2,1,"1,9",4,2,1,1,2,3,2,3,3,3,2,3,3,2,1,2,3,2,3,3,3,2,6,5,4,5,5,6,6,5,4,5,5,4,4,6,5,6,4,6,5,6,5,5,4,5,6,5,5,4,5,5,6,5,4,6,6,4,69,31,48,34,47,182
"51",100,32,2,1,5,2,1,"1,6,9",4,2,1,3,2,3,2,1,4,2,4,3,2,3,3,3,3,4,3,3,3,2,6,6,4,5,5,6,6,4,5,6,5,4,5,6,6,5,4,5,6,5,5,4,5,5,6,5,4,5,6,6,5,4,6,5,6,5,68,32,50,36,54,186
"52",100,31,2,1,5,1,1,"1,6,9",4,2,2,3,2,3,2,4,3,4,2,4,3,2,2,3,3,4,3,3,1,2,6,6,5,4,5,5,5,4,5,6,5,3,4,5,5,6,5,5,4,5,6,5,5,4,5,5,4,6,5,5,5,4,5,6,5,4,64,30,49,34,55,177
"53",100,23,2,1,4,2,6,"1,2,3,5,9",5,2,2,3,3,3,2,2,2,3,2,2,2,2,3,2,3,2,1,3,2,2,6,3,3,5,5,2,3,4,4,4,5,3,6,4,7,5,4,4,4,3,3,4,4,6,4,3,6,4,5,6,3,7,7,7,2,4,51,23,47,38,46,159
"54",100,30,2,1,5,1,1,"2,9",4,2,1,1,2,3,3,3,1,3,2,2,4,3,2,3,2,3,2,2,2,2,6,6,5,4,3,4,5,5,6,4,5,2,6,4,5,4,6,6,5,4,5,6,5,4,5,6,6,5,4,5,4,5,6,5,5,6,66,31,45,35,46,177
