"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"172",100,48,2,1,4,2,1,"1,2,4,5,6,7,8,9",3,1,2,1,1,3,1,1,3,2,1,1,1,3,4,1,1,1,1,2,1,1,2,1,1,1,1,3,1,4,2,3,2,4,1,1,1,2,1,2,2,1,1,1,2,3,3,4,5,1,1,3,2,1,1,5,5,2,27,15,21,13,32,76
"173",100,37,1,1,4,1,1,"1,2,4,5,7,9",2,1,1,1,1,3,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,5,2,3,2,2,2,3,3,3,3,3,5,3,4,3,2,2,3,1,2,1,1,3,6,4,3,5,3,5,5,5,5,3,4,5,3,40,21,28,28,31,117
"174",100,34,2,1,5,1,5,"1,2,4,5,7,8,9",4,1,2,1,1,4,1,3,4,2,2,1,1,4,3,1,4,3,1,2,2,2,1,1,1,5,6,1,5,5,4,6,2,7,4,1,1,1,1,1,1,7,5,5,5,7,5,1,7,6,6,6,5,7,3,5,7,6,31,30,44,42,44,147
"175",100,30,2,1,4,1,2,"1,2,3,4,5,7,8,9",6,1,1,1,1,4,3,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,6,2,2,2,2,6,2,2,1,1,2,6,3,2,2,2,5,2,5,5,2,2,4,5,35,18,20,20,34,93
"176",100,22,2,5,3,2,6,"1,2,4,5,6,7,8,9",3,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,5,2,1,2,5,6,4,5,2,3,6,2,5,4,1,5,1,1,2,2,6,7,5,1,7,7,7,3,7,6,2,5,1,5,53,22,31,33,24,139
"177",100,24,2,1,4,2,1,"1,2,4,5,6,7,8,9",5,1,2,2,1,3,1,3,1,1,2,1,2,2,1,2,3,1,2,3,1,2,5,1,4,2,4,3,5,1,2,6,2,3,4,1,3,3,2,1,2,3,2,2,6,6,5,2,7,2,5,5,5,5,2,3,2,2,38,22,29,29,36,118
"178",100,45,2,1,5,1,1,"1,2,4,6,9",4,1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,1,2,15,7,13,11,25,46
"179",100,45,2,1,4,1,2,"1,2,4,5,6,7,9",5,1,1,1,1,4,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,4,4,6,2,4,1,5,6,4,1,2,1,4,1,2,1,1,6,5,2,2,5,4,3,5,4,3,2,2,2,1,42,17,19,24,27,102
"180",100,30,1,1,5,1,6,"1,2,4,5,6,7",3,1,1,1,1,4,3,2,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,3,5,1,1,1,1,1,1,3,1,1,5,5,2,1,3,3,2,3,3,2,2,1,1,1,20,15,13,18,32,66
"181",100,19,2,1,3,2,6,"9",5,1,1,1,2,3,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,5,1,2,3,3,2,5,5,3,6,5,6,5,3,3,2,2,6,2,5,2,5,6,5,4,2,6,6,6,6,5,3,6,5,5,5,47,26,40,38,35,151
"182",100,23,2,2,4,2,6,"1",6,1,1,1,1,4,1,2,3,1,2,1,1,1,2,2,2,1,1,2,1,1,6,1,6,2,1,4,5,5,5,6,2,7,5,6,3,3,2,5,5,3,1,5,2,5,1,1,7,2,2,2,5,6,2,2,2,2,61,16,28,24,31,129
"183",100,48,1,1,5,3,4,"2,4,5,7,9",5,1,3,1,2,3,3,3,3,1,1,2,3,1,2,3,1,3,3,2,2,1,1,1,2,3,3,1,3,4,2,2,3,5,2,2,4,5,1,2,1,2,1,1,3,4,1,3,5,3,7,7,2,4,5,5,6,7,30,16,34,33,43,113
"184",100,63,2,1,3,3,7,"6,7,8",3,1,2,3,2,3,2,2,3,3,3,4,1,1,4,3,4,3,2,2,3,3,3,1,1,1,3,1,3,3,3,5,3,5,3,3,3,3,3,3,3,3,5,3,5,4,4,4,2,2,1,3,5,5,5,6,5,5,38,22,39,21,53,120
"185",100,74,2,1,1,4,5,"6,7,8,9",3,1,1,1,2,3,1,1,1,2,2,2,1,2,2,2,1,1,1,3,1,1,4,1,4,4,5,1,6,4,1,5,5,7,1,1,2,3,2,1,1,3,2,7,3,3,5,1,6,4,6,2,6,3,1,4,2,5,34,21,41,25,31,121
